,recipe_name,total_time,servings,ingredients,directions,nutrition
254,Refreshing Watermelon Salad,20 mins,15,"3 tablespoons lime juice, 1 cup sliced red onion, cut lengthwise, 15 cups cubed watermelon, 3 cups cubed English cucumber, 1 (8 ounce) package feta cheese, crumbled, ½ cup chopped fresh cilantro,   cracked black pepper,   sea salt","In a small bowl, pour lime juice over red onions. Allow to marinate while assembling the salad.
Gently combine the watermelon, cucumber, feta cheese, and cilantro in a large bowl. Season with black pepper. Toss watermelon salad with marinated onions and season with sea salt just before serving.











CookinBug
","Total Fat 4g 4%, Saturated Fat 2g 12%, Cholesterol 14mg 5%, Sodium 182mg 8%, Total Carbohydrate 14g 5%, Dietary Fiber 1g 4%, Total Sugars 11g, Protein 3g, Vitamin C 15mg 75%, Calcium 93mg 7%, Iron 1mg 3%, Potassium 243mg 5%"
255,Watermelon Basil Salad,50 mins,4,"¼ cup basil leaves, 4 cups 1/2-inch cubes watermelon, 2 teaspoons lemon juice, ¼ teaspoon kosher salt, ¼ teaspoon chili powder","Stack basil leaves on top of each other and roll tightly into a log. Slice lengthwise into thin ribbons.
Combine basil slices and watermelon in a large bowl. Drizzle lemon juice over watermelon.
Mix salt and chili powder together in a small bowl; sprinkle over watermelon and toss to combine. Chill salad before serving, at least 30 minutes.","Sodium 122mg 5%, Total Carbohydrate 0g 0%, Dietary Fiber 0g 0%, Total Sugars 0g, Protein 0g, Vitamin C 2mg 9%, Calcium 5mg 0%, Iron 0mg 1%, Potassium 14mg 0%"
256,Spicy Watermelon,10 mins,2,"¼ teaspoon ground cumin, ¼ teaspoon ground coriander, ¼ teaspoon chili powder, ¼ teaspoon salt, ⅛ teaspoon cayenne pepper, 2 cups cubed seeded watermelon, ½  lime, juiced","Mix cumin, coriander, chili powder, salt, and cayenne pepper together in a bowl.
Place watermelon into serving bowls; sprinkle with spice mixture. Squeeze lime juice over spiced watermelon.","Total Fat 0g 1%, Sodium 296mg 13%, Total Carbohydrate 13g 5%, Dietary Fiber 1g 3%, Total Sugars 10g, Protein 1g, Vitamin C 16mg 78%, Calcium 18mg 1%, Iron 1mg 3%, Potassium 195mg 4%"
258,Watermelon Caprese Appetizer,30 mins,4,"3 sprigs fresh basil, stems removed, 1 small watermelon, fruit removed with a melon baller, 1 (8 ounce) package fresh mozzarella cheese, cut into small pieces, 2 tablespoons olive oil, 2 tablespoons balsamic vinegar,   salt and ground black pepper to taste","Trim basil leaves into small circles about 1 inch in diameter.
Thread watermelon and mozzarella cheese on toothpicks, sandwiching a basil leaf in between. Arrange on a serving plate.
Pour olive oil and balsamic vinegar over toothpicks. Sprinkle salt and black pepper on top.









","Total Fat 20g 25%, Saturated Fat 9g 46%, Cholesterol 45mg 15%, Sodium 125mg 5%, Total Carbohydrate 28g 10%, Dietary Fiber 1g 5%, Total Sugars 24g, Protein 12g, Vitamin C 28mg 142%, Calcium 357mg 27%, Iron 1mg 8%, Potassium 399mg 8%"
260,Watermelon and Feta Salad with Arugula and Spinach,20 mins,4,"3 tablespoons extra-virgin olive oil, 2 teaspoons white balsamic vinegar, ½ teaspoon kosher salt, 2 cups arugula, 2 cups baby spinach leaves, 1 cup thinly sliced red onion, 1 cup grape tomatoes, halved, ½ cup crumbled feta cheese, 2 cups bite sized watermelon chunks","Whisk the olive oil, white balsamic vinegar, and salt together in a small bowl; set aside.
Combine the arugula, spinach, onions, and tomatoes in a large salad bowl. Drizzle the vinaigrette over the salad mixture; toss to coat. Add the feta cheese and watermelon to serve.","Total Fat 15g 19%, Saturated Fat 4g 22%, Cholesterol 17mg 6%, Sodium 470mg 20%, Total Carbohydrate 12g 4%, Dietary Fiber 2g 6%, Total Sugars 7g, Protein 5g, Vitamin C 21mg 106%, Calcium 138mg 11%, Iron 1mg 6%, Potassium 346mg 7%"
261,Watermelon Feta Salad,20 mins,8,"3 tablespoons olive oil, 2 teaspoons white balsamic vinegar, ½ teaspoon kosher salt, 8 ounces grape tomatoes, halved, 3 cups arugula, 1 cup sliced red onion, 2 pounds watermelon, cubed, 4 ounces feta cheese, cut into 1/4-inch cubes","Whisk olive oil, vinegar, and salt together in a large mixing bowl. Add tomatoes, arugula, and red onion; toss to coat. Gently stir in watermelon and feta cheese to serve.","Total Fat 8g 11%, Saturated Fat 3g 15%, Cholesterol 13mg 4%, Sodium 284mg 12%, Total Carbohydrate 12g 5%, Dietary Fiber 1g 4%, Total Sugars 9g, Protein 3g, Vitamin C 15mg 77%, Calcium 96mg 7%, Iron 1mg 3%, Potassium 237mg 5%"
262,Jewel's Watermelon Margaritas,45 mins,4,"½ cup white sugar, ½ cup water, 3 strips orange zest, 2 cups cubed seeded watermelon, ¾ cup white tequila, ¼ cup lime juice, 1 pinch salt or sugar for rimming glasses, 1  lime, cut into wedges, 2 cups crushed ice, or as needed","Bring 1/2 cup sugar, water, and orange zest in a small saucepan to boil, stirring constantly. Simmer until sugar is dissolved, about 3 minutes. Remove simple syrup from heat and allow to cool completely.
Place watermelon in a blender or food processor. Pulse until pureed.
Stir watermelon puree into a large pitcher with simple syrup, tequila, and lime juice.
Place a small amount of salt or sugar into a saucer. Rub edge of margarita glasses with a lime wedge to moisten. Lightly dip the rim of the glass into the saucer to rim the glass; tap off excess salt or sugar.
Fill rimmed glasses with crushed ice; pour margarita mixture into glasses and garnish with lime wedges to serve.











France C
","Total Fat 0g 0%, Sodium 42mg 2%, Total Carbohydrate 38g 14%, Dietary Fiber 2g 9%, Total Sugars 30g, Protein 1g, Vitamin C 36mg 180%, Calcium 38mg 3%, Iron 0mg 2%, Potassium 154mg 3%"
264,Herb Watermelon Feta Salad,20 mins,12,"½ large chilled seedless watermelon, cut into 1-inch cubes, 1 small red onion, sliced, 1 cup thinly sliced fresh basil leaves, 1 cup chopped fresh cilantro, ½ cup minced fresh mint leaves, 2  limes, juiced, 1 (4 ounce) package crumbled feta cheese, 3 tablespoons olive oil, 2 tablespoons balsamic vinegar, or more to taste,   salt and ground black pepper to taste","Gently toss watermelon, onion, basil, cilantro, mint, lime juice, feta cheese, olive oil, balsamic vinegar, salt, and black pepper together in a large bowl.","Total Fat 6g 8%, Saturated Fat 2g 10%, Cholesterol 8mg 3%, Sodium 112mg 5%, Total Carbohydrate 31g 11%, Dietary Fiber 2g 8%, Total Sugars 25g, Protein 4g, Vitamin C 36mg 182%, Calcium 89mg 7%, Iron 1mg 7%, Potassium 480mg 10%"
265,Polynesian Watermelon Drink ('Otai),15 mins,12,"1  seedless watermelon, halved and sliced, 3 cups water, 1 (15.25 ounce) can crushed pineapple, 1 (12 fluid ounce) can evaporated milk, ½ cup shredded coconut, 2 tablespoons white sugar, or to taste, ½  lime, juiced","Grate watermelon with a fork from the rind into a large bowl, leaving no large chunks. Stir water, pineapple, evaporated milk, and coconut into the grated watermelon. Add sugar; stir until dissolved. Squeeze lime juice into the watermelon mixture.","Total Fat 4g 5%, Saturated Fat 2g 12%, Cholesterol 9mg 3%, Sodium 48mg 2%, Total Carbohydrate 41g 15%, Dietary Fiber 2g 8%, Total Sugars 35g, Protein 5g, Vitamin C 35mg 176%, Calcium 117mg 9%, Iron 1mg 6%, Potassium 574mg 12%"
267,"100% Fruit ""Cake""",30 mins,8,"1  seedless watermelon, 2 cups strawberries, hulled and sliced, 1  cantaloupe - seeded, peeled, and sliced (Optional), 1  fresh pineapple - peeled, cored, and sliced (Optional)","To create the base tier of the cake, cut 3 slices of watermelon, 1 to 2 inches thick, crossways through the center of the melon. Trim the rind from the watermelon slices, and place the largest slice onto a cake plate. Alternate layering sliced strawberries, slices of cantaloupe, and slices of fresh pineapple; follow with the second-largest watermelon slice. Repeat once more to make a layered fruit stack that looks like a cake.
Thinly slice a few pieces of remaining melon and pineapple. With cookie cutters or a sharp knife, cut remaining fruit slices into decorative shapes. Decorate the cake tiers with the cut fruit shapes and remaining berries.
Refrigerate until serving time. To serve, slice the cake with a sharp knife, one wedge at a time, and set the wedge onto a plate.","Total Fat 1g 2%, Saturated Fat 0g 1%, Sodium 18mg 1%, Total Carbohydrate 59g 21%, Dietary Fiber 4g 16%, Total Sugars 48g, Protein 5g, Vitamin C 120mg 602%, Calcium 59mg 5%, Iron 2mg 10%, Potassium 934mg 20%"
269,Watermelon Goat Cheese Salad,10 mins,8,"¼ cup extra-virgin olive oil, 2 tablespoons lemon juice, 2 tablespoons red wine vinegar, ¼ teaspoon salt,   Ground pepper, to taste, 4 cups spring mix, 4 cups seedless watermelon, diced, ½ (4 ounce) log Montchevre® honey goat cheese , ½ cup hazelnuts, chopped","Whisk together olive oil, lemon juice, vinegar, salt, and pepper.
In a large bowl, gently toss spring mix and watermelon together with vinaigrette.
Top with goat cheese and hazelnuts to serve.","Total Fat 14g 17%, Saturated Fat 2g 12%, Cholesterol 5mg 2%, Sodium 91mg 4%, Total Carbohydrate 9g 3%, Dietary Fiber 2g 6%, Total Sugars 5g, Protein 3g, Vitamin C 13mg 65%, Calcium 31mg 2%, Iron 1mg 6%, Potassium 240mg 5%"
270,Watermelon Fruit Bowl,50 mins,20,"1  large watermelon, 1  cantaloupe, halved and seeded, 1  honeydew melon, halved and seeded, 2 (15 ounce) cans mandarin oranges, drained, 2 (20 ounce) cans pineapple chunks, drained, 2 cups halved fresh strawberries, 2 cups seedless grapes , ½ cup water, ¼ cup white sugar, 2 tablespoons grated lemon zest","With a large, sharp knife, remove the top 1/4 section of the watermelon. With a melon baller, scoop flesh from inside of watermelon, removing as many seeds as possible. Leave 1/2 inch of flesh inside the shell of the watermelon. Scoop cantaloupe and honeydew in the same manner, removing as much flesh as possible, and discarding the rinds. Refrigerate fruits separately until ready to assemble.
In a small saucepan over medium-high heat, bring water and sugar to a boil. Remove from heat, and continue stirring until sugar has completely dissolved. Add lemon zest, and set aside to cool.
To serve, place watermelon balls, cantaloupe, honeydew, oranges, pineapple, strawberries, and grapes, in a large mixing bowl. Pour syrup over, and toss thoroughly. Transfer mixture to watermelon bowl, and serve. Set aside any fruit mixture that will not fit. There will be enough fruit to refill the bowl.","Total Fat 1g 1%, Saturated Fat 0g 1%, Sodium 23mg 1%, Total Carbohydrate 45g 17%, Dietary Fiber 3g 11%, Total Sugars 40g, Protein 3g, Vitamin C 75mg 377%, Calcium 41mg 3%, Iron 1mg 6%, Potassium 683mg 15%"
271,Watermelon and Cucumber Juice with a Spritz of Lime,10 mins,4,"½ (4 pound) watermelon, seeded and cubed, 4  cucumbers, trimmed and cut into chunks, 2  limes, juiced","Run watermelon and cucumber pieces through a juicer following the manufacturer's instructions, and place the juice into a pitcher. Stir in lime juice, and serve.











Melissa Goff
","Total Fat 1g 1%, Saturated Fat 0g 1%, Sodium 9mg 0%, Total Carbohydrate 31g 11%, Dietary Fiber 3g 12%, Total Sugars 19g, Protein 3g, Vitamin C 36mg 180%, Calcium 72mg 6%, Iron 2mg 8%, Potassium 702mg 15%"
272,Heavenly Honeydew Juice,10 mins,6,"1 (5 pound) honeydew melon, quartered and seeded, 2 cups ice cubes, 1 cup water, 3 tablespoons white sugar","Scrape flesh from honeydew melon quarters into a blender; add ice cubes, water, and sugar. Blend until smooth and sugar has dissolved. Serve immediately.","Total Fat 1g 1%, Saturated Fat 0g 1%, Sodium 69mg 3%, Total Carbohydrate 40g 15%, Dietary Fiber 3g 11%, Total Sugars 37g, Protein 2g, Vitamin C 68mg 338%, Calcium 24mg 2%, Iron 1mg 3%, Potassium 856mg 18%"
273,Watermelon Summer Salad,30 mins,6,"¾ cup halved, thinly sliced red onion, 1 tablespoon fresh lime juice, 1 ½ quarts seeded, cubed watermelon, ¾ cup crumbled feta cheese, ½ cup pitted black olive halves, 1 cup chopped fresh mint, 2 tablespoons olive oil","Place the onion slices in a small bowl with the lime juice. The acid of the lime will mellow the flavor of the raw onion. Let stand for 10 minutes.
In a large bowl, combine the watermelon cubes, feta cheese, black olives, onions with the lime juice, and mint. Drizzle olive oil over it all, and toss to blend. Dig in and be prepared for a pleasant surprise!","Total Fat 10g 13%, Saturated Fat 4g 18%, Cholesterol 17mg 6%, Sodium 315mg 14%, Total Carbohydrate 15g 5%, Dietary Fiber 1g 5%, Total Sugars 11g, Protein 4g, Vitamin C 17mg 85%, Calcium 126mg 10%, Iron 1mg 6%, Potassium 215mg 5%"
274,Cantaloupe Crunch,1 hrs,9,"3 cups cubed cantaloupe, ½ cup white sugar, ⅓ cup lemon juice, 2 tablespoons unsalted butter, melted, 1 tablespoon all-purpose flour, ½ teaspoon vanilla extract, ½ teaspoon ground cinnamon, ¼ teaspoon ground nutmeg, 1 (15.25 ounce) package white cake mix, ½ cup unsalted butter, melted","Preheat the oven to 350 degrees F (175 degrees C).
Mix cantaloupe, sugar, lemon juice, 2 tablespoons melted butter, flour, vanilla, cinnamon, and nutmeg together in a medium bowl. Pour into a 9-inch square baking dish.
Spread dry cake mix evenly over cantaloupe mixture, then drizzle 1/2 cup melted butter over top.
Bake in the preheated oven until golden brown, about 45 minutes.","Total Fat 19g 24%, Saturated Fat 9g 46%, Cholesterol 34mg 11%, Sodium 477mg 21%, Total Carbohydrate 61g 22%, Dietary Fiber 1g 4%, Total Sugars 46g, Protein 3g, Vitamin C 24mg 120%, Calcium 120mg 9%, Iron 1mg 6%, Potassium 226mg 5%"
276,Watermelon Margaritas,10 mins,4,"2 cups cubed seeded watermelon, 2 cups crushed ice, ⅓ cup tequila, ¼ cup white sugar, ¼ cup lime juice, 1 tablespoon vodka, 1 tablespoon orange liqueur ","Combine watermelon, ice, tequila, sugar, lime juice, vodka, and orange liqueur in a blender; blend well. Pour margaritas into glasses.","Total Fat 0g 0%, Sodium 2mg 0%, Total Carbohydrate 21g 8%, Dietary Fiber 0g 1%, Total Sugars 19g, Protein 1g, Vitamin C 11mg 54%, Calcium 8mg 1%, Iron 0mg 1%, Potassium 104mg 2%"
277,Watermelon Cooler Slushy,10 mins,5,"4 cups cubed seedless watermelon, 10  ice cubes, ⅓ cup fresh lime juice, ¼ cup white sugar, ⅛ teaspoon salt","Place watermelon and ice into a blender. Pour in lime juice, sugar, and salt. Blend until smooth.","Total Fat 0g 0%, Sodium 61mg 3%, Total Carbohydrate 21g 7%, Dietary Fiber 1g 2%, Total Sugars 18g, Protein 1g, Vitamin C 15mg 74%, Calcium 12mg 1%, Iron 0mg 2%, Potassium 156mg 3%"
278,Quick Cantaloupe Juice,10 mins,2,"½  cantaloupe - peeled, seeded, and cubed, ¾ cup milk, 1 tablespoon white sugar",Place cantaloupe in a blender and top with milk and sugar. Cover and blend until smooth.,"Total Fat 2g 3%, Saturated Fat 1g 6%, Cholesterol 7mg 2%, Sodium 60mg 3%, Total Carbohydrate 22g 8%, Dietary Fiber 1g 4%, Total Sugars 21g, Protein 4g, Vitamin C 51mg 254%, Calcium 120mg 9%, Iron 0mg 2%, Potassium 506mg 11%"
280,Agua Fresca,5 mins,2,"1 ½ cups water, 3 slices cantaloupe, peeled and seeded, 6 tablespoons white sugar, 1 cup ice cubes","Place water, cantaloupe, and sugar in a blender; blend until smooth. Divide ice into two glasses and pour cantaloupe mixture over ice.","Total Fat 0g 0%, Saturated Fat 0g 1%, Sodium 22mg 1%, Total Carbohydrate 46g 17%, Dietary Fiber 1g 3%, Total Sugars 45g, Protein 1g, Vitamin C 38mg 190%, Calcium 15mg 1%, Iron 0mg 1%, Potassium 279mg 6%"
282,Watermelon and Strawberry Lemonade,15 mins,8,"8 cups cubed seeded watermelon, 1 cup fresh strawberries, halved, ½ cup fresh lemon juice, 1 cup white sugar, 2 cups water","Combine watermelon, strawberries, lemon juice, sugar, and water in a blender. Blend until smooth.","Total Fat 0g 0%, Sodium 4mg 0%, Total Carbohydrate 39g 14%, Dietary Fiber 1g 4%, Total Sugars 36g, Protein 1g, Vitamin C 31mg 154%, Calcium 17mg 1%, Iron 1mg 3%, Potassium 220mg 5%"
286,Avocado Watermelon Salad,15 mins,6,"4 cups cubed watermelon, 4 cups fresh baby spinach, torn, 2 large avocados - peeled, pitted, and diced, ¼ cup walnut oil, ¼ cup olive oil, 1  lime, juiced, ½ teaspoon sweet paprika","Combine watermelon, spinach, and avocados together in a bowl.
Whisk walnut oil, olive oil, lime juice, and paprika together in a bowl; pour over watermelon mixture. Toss to coat.











bd.weld
","Total Fat 32g 41%, Saturated Fat 4g 21%, Sodium 24mg 1%, Total Carbohydrate 18g 6%, Dietary Fiber 8g 27%, Total Sugars 7g, Protein 3g, Vitamin C 27mg 134%, Calcium 42mg 3%, Iron 2mg 8%, Potassium 700mg 15%"
288,Watermelon and Blue Cheese Salad,20 mins,12,"½ cup light olive oil, ¼ cup white balsamic vinegar,   salt and ground black pepper to taste, 5 pounds watermelon, cut into bite-size cubes, 1 small sweet onion (such as Vidalia®), thinly sliced, 2 tablespoons chopped fresh mint, or more to taste, 6 ounces crumbled blue cheese","Whisk olive oil, vinegar, salt, and pepper together in a bowl until smooth.
Mix watermelon, onion, and mint together in a separate bowl. Drizzle dressing over watermelon mixture and add blue cheese; toss well.","Total Fat 13g 17%, Saturated Fat 4g 20%, Cholesterol 11mg 4%, Sodium 201mg 9%, Total Carbohydrate 16g 6%, Dietary Fiber 1g 3%, Total Sugars 13g, Protein 4g, Vitamin C 16mg 80%, Calcium 92mg 7%, Iron 1mg 3%, Potassium 261mg 6%"
289,Watermelon Fire and Ice Salsa,15 mins,32,"3 cups chopped watermelon, ½ cup chopped green bell pepper, 2 tablespoons lime juice, 2 tablespoons chopped fresh cilantro, 1 tablespoon chopped green onions, 1 tablespoon chopped jalapeno pepper, ½ teaspoon garlic salt","In a large bowl, combine the watermelon, green bell pepper, lime juice, cilantro, green onions, jalapeno and garlic salt. Mix well and serve.","Sodium 29mg 1%, Total Carbohydrate 1g 0%, Dietary Fiber 0g 0%, Total Sugars 1g, Protein 0g, Vitamin C 4mg 18%, Calcium 2mg 0%, Iron 0mg 1%, Potassium 23mg 0%"
290,Chef John's Watermelon Agua Fresca,50 mins,6,"½  seedless watermelon, 2 cups cold water, ½ cup white sugar, or to taste, ½ cup water","Scoop flesh from watermelon half and transfer watermelon to a blender. Add 2 cups cold water. Place a folded towel on blender lid and blend until liquefied, about 1 minute. Strain through a fine mesh strainer into a large bowl to remove fibers. Discard fibers left in strainer. Skim and discard excess foam from juice if desired.
Place sugar and 1/2 cup water into a saucepan over medium heat and stir until water is hot and sugar has dissolved. Turn off heat and let simple syrup cool to room temperature. Stir simple syrup into watermelon juice to taste.
Pour drink into a 2-quart pitcher and refrigerate until cold, at least 30 minutes. To serve, fill tall glasses with ice cubes and pour agua fresca drink over ice. Serve with straws.











""So refreshing!"".
Doughgirl8
","Total Fat 1g 1%, Saturated Fat 0g 1%, Sodium 7mg 0%, Total Carbohydrate 45g 16%, Dietary Fiber 2g 5%, Total Sugars 40g, Protein 2g, Vitamin C 30mg 152%, Calcium 29mg 2%, Iron 1mg 5%, Potassium 421mg 9%"
291,Green Gazpacho,55 mins,2,"2 cups diced honeydew melon, 1  English (seedless) cucumber, peeled and diced, 1 small onion, diced, 1  avocado - peeled, pitted, and chopped, 1  jalapeno pepper, seeded and coarsely chopped, 1 clove garlic, chopped, ¼ cup white balsamic vinegar, 1 tablespoon lime juice,   salt and freshly ground black pepper to taste","Blend honeydew melon, cucumber, onion, avocado, jalapeño pepper, garlic, white balsamic vinegar, lime juice, salt, and black pepper in a blender until smooth. Adjust seasonings if desired and chill before serving.","Total Fat 15g 19%, Saturated Fat 2g 11%, Sodium 47mg 2%, Total Carbohydrate 36g 13%, Dietary Fiber 10g 37%, Total Sugars 22g, Protein 5g, Vitamin C 56mg 281%, Calcium 44mg 3%, Iron 1mg 7%, Potassium 980mg 21%"
293,Watermelon Juice,5 mins,4,"2 cups diced seedless watermelon, 2 cups water, 1 tablespoon white sugar, or more to taste","Blend watermelon, water, and sugar in a blender until smooth.","Total Fat 0g 0%, Sodium 4mg 0%, Total Carbohydrate 9g 3%, Dietary Fiber 0g 1%, Total Sugars 8g, Protein 1g, Vitamin C 6mg 31%, Calcium 9mg 1%, Iron 0mg 1%, Potassium 86mg 2%"
294,Watermelon Gin and Tonic,5 mins,1,"¼  lime, juiced, ¼ cup chopped seedless watermelon, ½ cup ice, or as needed, 2 tablespoons gin, or to taste, 2 cups tonic water",Squeeze lime into cocktail glass and drop lime wedge into the juice; add watermelon and enough ice to fill glass to top. Pour gin and tonic water over the watermelon and ice; stir.,"Total Fat 0g 0%, Sodium 58mg 3%, Total Carbohydrate 45g 16%, Dietary Fiber 0g 1%, Total Sugars 44g, Protein 0g, Vitamin C 6mg 30%, Calcium 9mg 1%, Iron 0mg 1%, Potassium 54mg 1%"
295,Easy Watermelon Martini,10 mins,1,"1 slice watermelon, rind removed, ½ cup ice cubes, or as needed, 1 (1.5 fluid ounce) jigger vodka",Place watermelon in a cocktail shaker and crush with a muddler; add ice cubes and vodka. Cover shaker and shake well. Strain cocktail into a martini glass.,"Total Fat 0g 1%, Sodium 3mg 0%, Total Carbohydrate 22g 8%, Dietary Fiber 1g 4%, Total Sugars 18g, Protein 2g, Vitamin C 23mg 116%, Calcium 20mg 2%, Iron 1mg 4%, Potassium 321mg 7%"
296,Lemon Drop Shots,10 mins,1,"¾ fluid ounce vodka (such as Absolut®), ¾ fluid ounce lemon juice, 2 ½ teaspoons white sugar, divided, or more to taste, 1  lemon, cut into wedges","Combine vodka and lemon juice in a shot glass. Sprinkle 1/2 teaspoon sugar on top.
Place remaining 2 teaspoons sugar on a small plate; dip lemon wedges in sugar. Suck on a sugared lemon after drinking the shot.









","Total Fat 0g 0%, Sodium 4mg 0%, Total Carbohydrate 24g 9%, Dietary Fiber 5g 19%, Total Sugars 11g, Protein 1g, Vitamin C 94mg 469%, Calcium 68mg 5%, Iron 1mg 4%, Potassium 185mg 4%"
298,Perfect Lemon Curd,15 mins,12,"¾ cup fresh lemon juice, ¾ cup white sugar, ½ cup unsalted butter, cubed, 3 large eggs, 1 tablespoon grated lemon zest","Combine lemon juice, sugar, butter, eggs, and lemon zest in a 2-quart saucepan.
Cook over medium-low heat, whisking constantly, until mixture thickens and bubbles, about 5 to 6 minutes.









","Total Fat 9g 11%, Saturated Fat 5g 26%, Cholesterol 67mg 22%, Sodium 19mg 1%, Total Carbohydrate 14g 5%, Dietary Fiber 0g 0%, Total Sugars 13g, Protein 2g, Vitamin C 8mg 39%, Calcium 11mg 1%, Iron 0mg 1%, Potassium 39mg 1%"
299,Tom Collins Cocktail,5 mins,1,"2 ½ cups ice, divided, 2 fluid ounces gin, ¾ fluid ounce lemon juice, ½ fluid ounce simple syrup, 2 fluid ounces club soda, 1  lemon wedge","Fill a Collins glass with 1 1/2 cups ice; set aside in the freezer.
Combine gin, lemon juice, and simple syrup in a cocktail shaker. Add 1 cup ice, cover, and shake until chilled.
Strain into the chilled Collins glass. Top with club soda and garnish with lemon wedge.











lutzflcat
","Sodium 4mg 0%, Total Carbohydrate 13g 5%, Dietary Fiber 1g 3%, Total Sugars 1g, Protein 0g, Vitamin C 21mg 105%, Calcium 12mg 1%, Iron 0mg 1%, Potassium 49mg 1%"
301,Easy Garlic-Lemon Scallops,15 mins,6,"¾ cup butter, 3 tablespoons minced garlic, 2 pounds large sea scallops, 2 tablespoons fresh lemon juice, 1 teaspoon salt, ⅛ teaspoon pepper","Melt butter in a large skillet over medium heat. Stir in garlic and cook for a few seconds until fragrant.
Arrange scallops in a single layer in the skillet; cook until golden brown on one side, about 2 minutes. Turn scallops over using tongs and continue cooking until firm and opaque, about 2 minutes more. Transfer scallops to a platter, reserving butter in the skillet.
Whisk lemon juice, salt, and pepper into butter; pour sauce over scallops to serve.











David West
","Total Fat 24g 31%, Saturated Fat 15g 73%, Cholesterol 152mg 51%, Sodium 988mg 43%, Total Carbohydrate 9g 3%, Dietary Fiber 0g 0%, Total Sugars 0g, Protein 39g, Vitamin C 4mg 18%, Calcium 72mg 6%, Iron 4mg 20%, Potassium 635mg 14%"
303,Old-Fashioned Lemonade,10 mins,6,"6  lemons, 1 cup white sugar, 6 cups water, or more as needed","Juice lemons; you should have 1 cup juice.
Combine juice, sugar, and water in a 1/2-gallon pitcher. Stir until sugar dissolves. Taste and add more water if desired.
Chill and serve over ice.











DOTDASH MEREDITH FOOD STUDIOS
","Total Fat 0g 0%, Sodium 3mg 0%, Total Carbohydrate 45g 16%, Dietary Fiber 5g 18%, Total Sugars 33g, Protein 1g, Vitamin C 83mg 416%, Calcium 66mg 5%, Iron 1mg 4%, Potassium 157mg 3%"
304,Easy Lemon-Pepper Chicken Wings,20 mins,4,"2 cups oil, or as needed, 2 tablespoons extra-virgin olive oil, 1 tablespoon lemon-pepper seasoning, 12  chicken wings","Heat oil in a deep-fryer or large saucepan to 375 degrees F (190 degrees C).
Stir olive oil and lemon-pepper together in a bowl.
Fry wings in hot oil until no longer pink at the bone and the juices run clear, about 8 minutes; an instant-read thermometer inserted near the bone should read 165 degrees F (74 degrees C).
Toss hot wings with lemon-pepper mixture to coat.









","Total Fat 123g 158%, Saturated Fat 17g 85%, Cholesterol 58mg 19%, Sodium 409mg 18%, Total Carbohydrate 0g 0%, Dietary Fiber 0g 0%, Total Sugars 0g, Protein 21g, Calcium 12mg 1%, Iron 1mg 5%, Potassium 148mg 3%"
305,Famous Chicken Française,35 mins,6,"1 large egg, beaten, 1 ½ medium lemons, juiced, divided, 1 cup all-purpose flour, 1 pinch garlic powder, 1 pinch paprika, 6  skinless, boneless chicken breast halves, 2 tablespoons butter, 1 (14.5 ounce) can chicken broth, 6 slices  lemon, for garnish, 2 sprigs fresh parsley, for garnish","Mix together egg and 1/3 of the lemon juice in a shallow dish or bowl. Mix together flour, garlic powder, and paprika in another shallow dish or bowl.
Dip chicken breasts in egg mixture, then flour mixture to coat.
Heat butter in a large skillet over medium heat. Add chicken breasts and cook until golden, 2 to 3 minutes per side.
Mix together broth and remaining lemon juice in a medium bowl; pour over chicken in the skillet. Reduce heat to medium-low and let simmer until an instant-read thermometer inserted into the center reads at least 165 degrees F (74 degrees C), about 8 minutes.
Place chicken on a serving platter. Cover with lemon sauce and garnish with fresh lemon slices and parsley sprigs.









","Total Fat 7g 9%, Saturated Fat 3g 16%, Cholesterol 111mg 37%, Sodium 413mg 18%, Total Carbohydrate 21g 8%, Dietary Fiber 3g 10%, Total Sugars 1g, Protein 32g, Vitamin C 45mg 226%, Calcium 60mg 5%, Iron 3mg 16%, Potassium 452mg 10%"
306,Lemon Icing,5 mins,12,"½ cup unsalted butter, at room temperature, 2 tablespoons lemon juice, ½ teaspoon vanilla extract, 3 cups confectioners' sugar","Combine butter, lemon juice, vanilla, and confectioners' sugar in a large mixing bowl and beat until light and fluffy. Add more confectioners' sugar, or lemon juice to adjust the consistency as needed.","Total Fat 8g 10%, Saturated Fat 5g 25%, Cholesterol 20mg 7%, Sodium 55mg 2%, Total Carbohydrate 32g 11%, Total Sugars 31g, Protein 0g, Vitamin C 1mg 6%, Calcium 3mg 0%, Potassium 6mg 0%"
307,The Best Lemon Vinaigrette,10 mins,8,"¼ cup red wine vinegar, 2 tablespoons Dijon mustard, 1 clove garlic, minced, 1 teaspoon dried oregano, ½ teaspoon kosher salt, ¼ teaspoon ground black pepper, ½ cup olive oil, 2 tablespoons fresh lemon juice","Whisk red wine vinegar, Dijon mustard, garlic, oregano, salt, and pepper together in a small bowl. Slowly stream olive oil into vinegar mixture, whisking continuously, until well combined. Add lemon juice and whisk to combine.
Pour vinaigrette into a screw-top jar or bottle; seal. Shake before serving.","Total Fat 14g 17%, Saturated Fat 2g 10%, Sodium 214mg 9%, Total Carbohydrate 2g 1%, Dietary Fiber 0g 0%, Total Sugars 0g, Protein 0g, Vitamin C 2mg 10%, Calcium 4mg 0%, Iron 0mg 1%, Potassium 18mg 0%"
